id,code,ename,fcover,tpop,apop,gdp1,gdp2,gdp3,distpvc,distport,hwaylen,explen,plain,elev,prec,slope,temp,temp0,area,policy
75,362528,jinxi,76.2279109,28,23,1581.392857,2428.571429,2053.714286,116136.3,337972.3,122705.1,132.3446,0.227876,126,1737,1.56,17.3,6343.2,135745,0
76,362529,zixi,112.5408996,11,8,1651.636364,3217.363636,2544.636364,149760,304319,156406.2,3557.997,0.03763,433,1852,4.91,15.7,5745.1,125163,0
77,362531,dongxiang,60.9235963,43,31,1606.813953,3583.767442,2684.046512,84603.12,368252.2,91604.02,6428.954,0.308681,79,1651,0.95,17.3,6330.3,124397,1
78,362532,guangchang,123.4772877,24,20,1038.666667,1182.75,1383.291667,216115.9,319880.3,218033.8,3767.263,0.237946,314,1701,2.87,17.1,6251.4,159543,0
79,510121,jintang,8.64854,86,73,2596.534884,2091.069767,4730.965116,52070.64,1117675,32985.76,34673.41,0.000867,497,910,1.3,16,5865.2,115285,1
80,510122,shuangliu,7.841889666,93,74,2173.849462,12124.11828,16044.74194,21334.16,1113684,19919.35,205.6485,0,508,955,0.66,16,5858.6,110225,0
81,510123,wenjiang,0.29575656,34,20,2467.411765,16865.82353,16085.17647,22497.63,1146418,29673.24,13035.53,0,552,933,0.2,14.8,5425.4,27800,0
82,510124,pixian,0.43359337,52,38,2233.596154,14955.59615,6520.538462,30589.89,1161548,29242.57,451.9462,0,566,962,0.22,14.6,5368.2,43860,0
83,510125,xindu,3.3972183,65,51,1892.846154,13886.93846,12678.64615,20004.55,1148211,7388.704,5955.342,0,511,902,0.2,15.5,5705.5,47804,0
84,510128,chongqing,25.5720623,67,57,2210.044776,4056.835821,5612.164179,42228.74,1157689,48506.59,23752.1,0,1030,1033,4.84,12.2,4561,108919,0
85,510129,dayi,49.813279,51,43,2536.019608,4021.45098,6158.980392,69496.35,1165444,76680.89,29711.32,0,1193,1061,5.72,11.6,4368.3,121195,1
86,510130,qionglai,50.99959187,65,55,2243.446154,3794.461538,5815.138462,67904.45,1137920,73411.53,2890.683,0,713,1185,2.6,14.1,5172.5,138122,1
87,510131,pujiang,13.3994041,26,22,3232.692308,4564.923077,5825.5,72197.22,1117129,75927.35,14060.52,0,575,1270,1.23,14.7,5393.6,58277,0
88,510132,xinjin,2.26041063,30,24,2396.233333,10144.73333,11198.86667,34963.02,1121854,38518.14,1942.504,0,482,1031,0.46,15.9,5815.4,33077,0
89,510181,dujiangyan,62.3811672,61,43,2057,5755.557377,11239.18033,62813.79,1194028,58146.1,9724.362,0,1310,1123,7.03,10.8,4099.1,120819,1
90,510182,pengzhou,58.44903867,78,66,2631.807692,5056.205128,6212.346154,48630.45,1180313,37793.14,23579.15,0.014788,1285,1003,6.62,10.8,4154.3,141727,1
91,510321,rongxian,27.003536,69,60,2322.391304,2203.057971,4166.898551,142303.1,996894.2,41487.88,34455.36,0,446,1037,0.92,16.6,6070.9,195461,1
92,510322,fushun,12.2331093,104,87,1954.509615,2069.855769,3460.942308,159656.9,936468.4,31015.97,36521.92,0,323,1090,0.74,16.5,6041.5,159479,1
93,510421,miyi,141.2935532,21,18,2593.238095,5969.666667,6465.238095,228390.3,947626.4,211131.3,26459.7,0,1858,1107,10.24,15,5474.6,213537,1
94,510422,yanbian,199.39491,20,17,1957.65,17894.5,3571.25,247742.3,986839,212264.4,75355.91,0,2056,1057,10.53,13.8,5030.9,292632,1
95,510521,luxian,13.1087196,106,96,1941.207547,2120.5,3285.537736,116698.3,912129,34056.89,6146.396,0,335,1142,0.8,16.6,6064.5,218686,1
96,510522,hejiang,79.05858056,87,77,1696.482759,1747.83908,2973.655172,106182.7,862864.8,66812.59,48269.69,0,531,1160,3.57,16.1,5908.7,240904,1
97,510524,xuyong,158.6414152,68,60,1390.088235,982.8235294,2236.279412,189859.3,819293.2,136314.1,2158.012,0,918,1126,5.21,14.4,5294.1,297523,1
98,510525,gulin,169.044903,81,72,1053.925926,1131.851852,1962.975309,180641.2,790535.2,104438.9,35399.62,0,1045,937,5.25,14.5,5304.8,318583,1
99,510622,mianzhu,53.732822,51,41,2956.862745,14898.29412,10090.80392,89626.81,1208930,36465.21,34346.9,0,1352,1040,7.4,10.6,4045.3,124510,0
100,510623,zhongjiang,14.2227732,142,124,2373.211268,1769.169014,3313.802817,65231.12,1135639,28811.22,32816.34,0.013642,483,949,1.06,15.8,5804.3,219904,1
101,510625,shifang,34.333147,43,34,3095.093023,15899.2093,10604.7907,61370.92,1187423,35776.07,32149.32,0.004419,1365,995,6.82,10.1,4020.7,90772,1
102,510681,guanghan,0.95756607,59,47,2514.186441,7453.169492,8720.118644,42089.23,1151593,661.3528,3023.996,0,484,909,0.26,15.9,5840.9,50832,0
103,510722,santai,30.5849391,146,131,1965.60274,1192.808219,2815.80137,105344.5,1138947,58130.43,47491.65,0.054449,454,960,0.89,15.7,5752,265614,1
104,510723,yanting,34.5590581,60,54,2706.283333,993.4166667,2795.55,147179.3,1146366,91620.05,40875.05,0,480,975,1.54,15.8,5774.3,197036,0
105,510724,anxian,56.8203878,50,43,2915.56,2967.1,4262.9,109623.4,1214404,38768.7,28343.75,0.075876,936,1129,4.9,13.2,4842.1,139621,1
106,510725,zitogn,28.461649,38,34,2707.236842,1366.315789,3603.236842,148682.7,1181381,79330.71,6767.426,0.018143,571,1013,1.73,15.9,5821.9,143233,1
107,510726,beichuan,185.9955571,16,16,2178.125,2757.9375,3290.875,149325.9,1258231,83005.12,68965.69,0,1733,1118,12.14,9,3452.4,286863,1
108,510727,pingwu,310.74444,19,17,2147.210526,3195.947368,3253.842105,189565.1,1284824,118298.2,71027.21,0,2122,822,12.29,7.2,2991.5,595870,1
109,510781,jiangyou,108.3549295,88,64,1991.738636,6163.329545,7577.113636,169111.3,1231903,92361.43,31877.61,0.14581,875,1070,4.85,13.4,4910.4,271309,1
110,510821,wangcang,167.03288,46,35,1624.76087,1829.23913,2878.108696,290517.1,1185397,219932.9,39325.87,0.008168,1076,1253,7.77,12.3,4530,294233,1
111,510822,qingchuan,107.2630766,25,21,1780.96,1077.44,2654.6,223376.7,1263445,146741.8,34737.93,0.005105,1281,823,8.4,11.6,4287.9,293310,1
112,510823,jiange,103.0110925,67,60,1632.567164,788.4328358,2450.776119,194192.4,1213296,120896,6768.353,0,668,1053,3.16,15.6,5711.2,309275,1
113,510824,cangxi,50.6413967,77,63,1738.402597,867.4025974,2460.298701,238672,1191701,172311.4,15112.66,0,651,1164,3.71,15.5,5667.9,235334,1
114,510921,pengxi,23.00855674,76,59,1972.513158,1022.302632,2683.5,134027.2,1044941,107979.7,4105.569,0.02393,368,968,0.78,15.9,5802.3,197256,1
115,510922,shehong,30.1847628,100,75,1685.35,4595.46,4588.03,131463,1106608,96412.27,32487.62,0.082054,409,947,1.17,15.8,5774,149612,1
116,511022,lezhi,12.004018,87,72,1914.885057,1477.83908,2819.954023,106622.8,1045860,44365.14,203.5627,0.134338,430,992,0.65,16.1,5892.4,146235,1
117,511023,anyue,6.9808508,154,139,2067.149351,1213.512987,2455.922078,125359.6,1014738,54929.68,4833.839,0.001874,371,1068,0.77,16.1,5889.2,266170,1
118,511024,weiyuan,31.091882,74,60,1664.675676,6249.824324,4840.040541,128942.3,1003992,23455.85,25516.09,0,494,1021,1.59,16.5,6051.7,128535,1
119,511025,zizhong,11.659486,132,116,1498.151515,1586.818182,2644.643939,115882.1,1017716,7712.357,5165.493,0.008576,416,1046,0.5,16.4,5979.1,175136,1
120,511027,jianyang,16.3690261,142,122,1780.232394,2961.887324,3388.15493,54560.23,1084957,5077.402,938.0386,0.029213,453,890,0.64,16.3,5940.4,221779,1
121,511028,longchang,6.0166924,77,66,1300.87013,3339.532468,3682.597403,127773.6,953797.3,283.8427,3483.177,0,372,1114,0.59,16.3,5969.8,78690,1
122,511121,renshou,35.484947,156,145,1912.685897,2275.685897,3127.596154,73034.13,1062801,35608.09,7064.939,0.129984,454,990,0.79,16.4,5992.7,260912,1
123,511123,qianwei,23.3601765,57,48,1797.157895,3331.017544,2921.54386,157626.9,1005470,84126.3,3422.387,0.090842,439,1176,1.19,16.5,6062.2,136839,1
124,511124,jingyan,4.4273503,41,37,2191.121951,1979.365854,2624.219512,109872.7,1036168,56501.21,220.5339,0.187425,426,1066,0.38,16.4,6015.8,84546,1
125,511126,jiajiang,26.674182,35,30,2452.171429,5636.8,5615.285714,107353.5,1072362,98106.52,47955.02,0.239247,544,1431,2.31,16.5,6023.6,74636,1
126,511127,hongya,95.412808,35,31,2494.828571,4394.857143,2830.228571,151961.5,1080009,149574.4,30895.96,0.057435,1275,1465,6.55,12.4,4565.7,195096,1
127,511128,pengshan,7.0034423,33,27,2159.242424,7220.666667,3242.333333,50382.14,1103017,51437.48,17349.6,0,473,1063,0.65,16,5855.3,46124,0
128,511129,muchuan,59.7192956,26,23,1880.192308,2905,2968.038462,183884.3,991952.5,101335,9387.345,0,707,1155,5.49,15.3,5598.5,140673,0
129,511130,qingshen,7.3240701,20,17,1910.95,4204.45,4491.35,95904.45,1062316,73585.51,27679.07,0.005167,429,1187,0.82,16.6,6056.7,38534,0
130,511131,danling,8.6760147,16,13,2441.0625,3132.5625,3689.375,96323.16,1102622,99212.53,22970.83,0,616,1413,2.13,15.7,5757.3,44903,1
131,511132,ebian,156.5374858,15,12,1596.133333,5037.2,4328.066667,202087.4,1027317,159641.5,56711.71,0,1899,981,11.8,9.2,3497.1,240428,1
132,511133,mabian,158.8723381,19,17,1768.684211,1546.105263,2796.631579,216985.5,983092.8,135044.8,34747.2,0,1464,973,9.93,11.4,4216.7,236766,1
133,511181,emeishan,61.929631,43,30,1931.023256,7573.627907,7853.186047,142548.5,1056741,123421.2,42176.84,0.184482,1050,1538,6.93,14.3,5250.1,116190,1
134,511321,nanbu,17.36043344,126,113,1838.698413,2151.357143,2945.277778,194681.6,1119810,149924.7,11258.34,0.034725,409,1083,1.15,15.7,5763.8,198368,1
135,511322,yingshan,16.5167268,91,83,1477.769231,1244.923077,2596.912088,182847.3,1097156,187659.9,41218.43,0,423,1176,2.19,15.8,5786.8,163412,1
136,511323,peng'an,6.9869136,69,59,1571.898551,2007.333333,2975.014493,167002.4,1090077,170351.9,27334.01,0.12282,393,1122,1.52,15.9,5804.2,132072,1
137,511324,yilong,21.41525919,108,97,1485.75,858.5555556,1982.342593,215300.3,1132228,200027.3,49212.2,0.006466,462,1168,2.03,15.8,5780.8,170062,1
138,511325,xichong,11.14314223,64,56,1514.09375,1107.0625,2563.5625,178137.1,1107943,136673,2465.563,0,397,1003,0.97,15.8,5802,111098,0
139,511381,langzhong,20.9857192,86,65,1600.686047,2141.511628,3287.965116,220147.5,1160690,160180.2,13190.3,0.018837,478,1111,2.16,15.8,5809.8,186564,1
140,512501,yibin,14.0018392,100,90,1813.7,2034.61,19023.77,195267.4,919413.4,58070.21,60686.16,0.028648,365,1130,1.63,16.8,6159.3,111644,0
141,512527,yibinxian,85.563655,100,90,1813.7,2034.61,3276.47,192861.4,954562.3,59147.49,39055.54,0.024219,457,1104,2.13,16.5,6047.1,313922,1
142,512528,nanxi,7.2517185,41,36,1774.073171,2237.073171,3605.853659,170179.9,918318.8,49298.95,39582.71,0,353,1125,1.4,16.6,6097.7,69607,0
143,512529,jiang'an,23.73590363,54,51,1714.166667,1416.888889,2853.814815,168501.3,889757.9,76239.8,21805.76,0,390,1213,1.64,16.5,6055.4,90768,0
144,512530,changning,24.08899989,44,40,1861.181818,2477.931818,3657.409091,191412.5,885594.4,86179.88,37116.38,0.001018,425,1178,2.78,16.5,6051.3,98439,1
145,512531,gaoxian,45.690122,51,48,1613.529412,2690.196078,2871.313725,222665.3,897292.9,93116.33,61293.21,0,514,1090,3.2,16.7,6111.4,131647,1
146,512532,junlian,50.4354077,40,36,1685.35,2886.475,3188.1,253871.8,857310.6,141807.5,60374.8,0,817,1076,5.23,15.4,5641.6,125344,1
147,512533,gongxian,58.6190346,42,32,1236.666667,2367.714286,3195.880952,228636.2,864217.8,121205.1,60505.29,0.018356,726,1132,5.38,15.5,5684.5,114662,0
148,512534,xingwen,64.354393,45,41,1481.022222,1498.755556,2622.577778,207331.7,841235.8,130490.5,26934.45,0.011687,714,1239,5.08,15.1,5537.4,137875,1
149,512535,pingshan,77.0301623,30,27,1383.2,689.9666667,1757.266667,221362.6,944368.6,99428.21,8653.22,0,905,1020,7.97,14.7,5389.2,144024,1
150,513002,wanyuan,234.01841,57,51,2089.666667,2040.736842,3380.105263,266548.4,1058206,249325.4,1031.679,0,1019,1219,7.97,12.1,4440,407821,1
151,513021,daxian,69.2393463,128,110,2083.046875,2217.992188,3368.328125,189937.8,1051504,196731.3,4171.787,0.024117,477,1233,3.53,16,5866.5,286540,1
152,513022,xuanhan,191.9010167,120,108,1928.225,1442.691667,3054.8,250091.2,1077256,256910,15098.36,0,777,1236,6.42,14.1,5164.5,426901,1
153,513023,kaijiang,23.7884586,57,48,2222.315789,1490.912281,3440.280702,211522.6,1030075,218784.8,38760.17,0.081553,599,1277,3.41,15.6,5708.7,102757,1
154,513029,dazhu,59.9243025,107,92,2224.401869,2995.682243,4107.831776,145127,1032870,151887.4,4344.311,0.011073,499,1222,3.21,15.7,5749,208341,1
155,513030,quxian,52.9081484,140,123,1509.371429,1572.335714,2461.214286,166188.2,1069364,172002.8,18057.98,0.044103,380,1183,2.12,15.9,5807.9,201767,1
156,513122,mingshan,14.5378507,27,25,2343.888889,1892.333333,2790.222222,99770.75,1122943,104098.8,3023.505,0,712,1419,1.91,13.4,4931.3,61764,1
157,513123,yingjing,132.562872,15,12,2155.133333,6369.933333,5701.2,172083.6,1120147,176270.6,249.8725,0,1746,1247,9.78,9.5,3559.7,176745,1
158,513124,hanyuan,98.87582,32,30,2289.6875,1676.5,2948.8125,190997.3,1093213,193905.1,2609.165,0.044097,1961,935,12.35,10.2,3796.8,217233,1
159,513125,shimian,184.321172,12,8,2589.5,10482.5,6768.416667,231905.3,1096286,233315.4,3978.029,0.006728,2438,892,14.9,7.5,3013,267822,0
160,513126,tianquan,120.46714,15,13,2419.733333,5098.866667,4469.4,153249.2,1157055,158868.1,7626.525,0.066917,2053,1400,12.13,7.5,3032,239508,1
161,513127,lushan,50.713618,12,11,2315.25,3866.083333,3235.5,100267.3,1162661,106721.1,35929.32,0,1900,1200,11.42,8.3,3329.9,125563,1
162,513128,baoxing,136.83546,6,5,2863.833333,7408.666667,4922.333333,127053.4,1191942,134121.9,37222.41,0,2813,1003,14.24,4.3,2126.1,311277,1
163,513221,wenchuan,225.6119724,11,7,1385.545455,17575.90909,7195,89778.82,1209647,89750.75,2863.149,0,2979,1037,15.96,2,1708.4,408413,1
164,513222,lixian,203.791781,5,4,1253.6,7111.6,4296.8,142617.7,1271419,136011.3,14007.71,0,3671,868,15.82,0.9,1315.5,431946,0
165,513223,maoxian,195.768132,11,9,1196.363636,3460.818182,4552,142677.8,1271106,99844.2,42587,0,3011,1004,14.58,2.6,1735.5,385598,1
166,513224,songpan,278.8638744,7,6,1992.857143,2257.571429,7461.857143,234227.4,1354612,182639.3,85060.72,0,3583,764,9.74,0.7,1269.4,836425,0
167,513225,nanping,198.135084,6,5,1540.833333,4374,19163.83333,302644.9,1281150,239905.2,66640.16,0.001322,3174,605,13.17,1.9,1618.9,528988,0
168,513226,jinchuan,236.6938861,7,6,1277.142857,982.2857143,2601.428571,239865.4,1334762,240095.8,70459.88,0,3803,700,11.5,2.4,1604.6,542736,0
169,513227,xiaojin,220.04735,8,7,1196,1271.25,3151.625,157618.7,1261198,158524.6,22863.64,0,3931,700,13.07,1.5,1410.5,556907,1
170,513228,heishui,197.4868914,6,5,1436,3245.166667,3546.5,185736,1317919,159540.3,37129.02,0,3569,825,12.61,1.7,1459.7,409964,1
171,513229,maerkang,321.5119427,5,3,1330,2348.6,12012.2,257246.5,1371875,254479.2,58217.32,0,3816,759,11.54,1.6,1396.8,663670,1
172,513230,rangtang,217.8532081,4,3,1959.5,581.25,3449.75,329387.2,1426976,328128.7,87614.23,0,4075,690,8.17,0,1132.1,660177,0
173,513231,aba,221.1232583,6,5,2642.833333,604.5,2872.333333,341526.7,1455999,317281.5,64948.11,0,3807,733,5.59,0,1155.8,1013007,0
174,513232,ruoergai,136.06383,7,6,3838.142857,958,3189.428571,275254.5,1334474,318560.2,13212.62,0,3522,702,3.34,0.4,1244.3,1018222,0
175,513233,hongyuan,93.373588,4,3,3439.5,1339.5,4078,267149.4,1399102,237546.8,11932.91,0,3753,762,3.31,-0.1,1080.6,838852,0
176,513321,kangding,415.983077,11,7,1060.636364,7709.636364,10596.72727,230252,1200288,236379.3,1141.544,0.05067,4003,858,12.29,-0.3,1020.6,1147602,1
177,513322,luding,96.964847,8,6,871.25,2134.375,3361,207244,1156171,212452.1,7967.677,0,3129,957,17.38,3,1996.5,216512,1
178,513323,danba,205.610006,6,5,960.1666667,1900.5,4132.5,212683.5,1274307,216985.7,9361.473,0,3808,635,14.3,2.7,1707.8,465950,1
179,513324,jiulong,326.66161,6,5,927.6666667,9825.166667,6026.166667,309140,1116199,311203,60809.61,0,3854,953,14.49,2.4,1509.9,676497,0
180,513325,yajiang,375.54841,4,4,1286.25,949.5,3985.5,307916.8,1238913,314146.2,11044.78,0,3978,732,10.61,1.9,1439.4,801039,0
